rebal_date,exit_date,sell_date,sold_code,entry_price,sell_price,loss_pct
2018-07-31,2018-10-08,2018-08-06,002164.SZ,4.55,4.0,-0.1208791208791209
2018-07-31,2018-10-08,2018-08-07,300600.SZ,21.3,18.42,-0.13521126760563373
2018-07-31,2018-10-08,2018-08-07,300700.SZ,41.5,35.6,-0.14216867469879513
2018-07-31,2018-10-08,2018-08-07,603600.SH,8.71,7.61,-0.12629161882893236
2018-07-31,2018-10-08,2018-08-07,002833.SZ,48.08,42.08,-0.12479201331114809
2018-07-31,2018-10-08,2018-08-07,002884.SZ,23.73,20.43,-0.1390644753476612
2018-07-31,2018-10-08,2018-08-07,300569.SZ,14.78,12.51,-0.15358592692828144
2018-07-31,2018-10-08,2018-08-14,002077.SZ,5.57,4.9,-0.1202872531418312
2018-07-31,2018-10-08,2018-08-16,603179.SH,20.46,17.66,-0.13685239491691104
2018-07-31,2018-10-08,2018-08-16,300393.SZ,18.33,15.62,-0.1478450627386797
2018-07-31,2018-10-08,2018-08-17,000026.SZ,8.3,7.31,-0.11927710843373507
2018-07-31,2018-10-08,2018-08-20,600375.SH,4.92,4.29,-0.12804878048780488
2018-07-31,2018-10-08,2018-08-20,300444.SZ,8.85,7.53,-0.14915254237288134
2018-07-31,2018-10-08,2018-08-20,603987.SH,7.11,6.11,-0.1406469760900141
2018-07-31,2018-10-08,2018-08-20,002840.SZ,15.23,13.15,-0.1365725541694025
2018-07-31,2018-10-08,2018-08-20,300109.SZ,21.2,18.08,-0.1471698113207548
2018-07-31,2018-10-08,2018-08-21,002196.SZ,7.12,6.15,-0.1362359550561797
2018-07-31,2018-10-08,2018-08-27,002026.SZ,5.89,5.16,-0.12393887945670623
2018-07-31,2018-10-08,2018-08-27,000906.SZ,5.38,4.75,-0.11710037174721188
2018-07-31,2018-10-08,2018-08-30,002164.SZ,3.84,3.0,-0.21875
2018-07-31,2018-10-08,2018-08-31,300061.SZ,7.68,6.53,-0.14973958333333326
2018-07-31,2018-10-08,2018-08-31,000567.SZ,14.01,12.45,-0.11134903640256966
2018-07-31,2018-10-08,2018-09-03,002582.SZ,10.83,9.24,-0.1468144044321329
2018-07-31,2018-10-08,2018-09-03,300600.SZ,18.42,16.08,-0.12703583061889268
2018-07-31,2018-10-08,2018-09-04,000716.SZ,3.68,3.21,-0.1277173913043479
2018-07-31,2018-10-08,2018-09-04,603773.SH,65.9,55.16,-0.16297420333839163
2018-07-31,2018-10-08,2018-09-06,601900.SH,9.6,8.4,-0.12499999999999989
2018-07-31,2018-10-08,2018-09-07,600189.SH,4.8,4.2,-0.12499999999999989
2018-07-31,2018-10-08,2018-09-07,600361.SH,4.27,3.75,-0.12177985948477743
2018-07-31,2018-10-08,2018-09-11,002772.SZ,7.9,6.91,-0.12531645569620253
2018-07-31,2018-10-08,2018-09-11,300700.SZ,35.6,30.4,-0.1460674157303371
2018-07-31,2018-10-08,2018-09-12,300607.SZ,45.08,38.74,-0.14063886424134864
2018-07-31,2018-10-08,2018-09-18,603360.SH,13.1,11.35,-0.13358778625954204
2018-07-31,2018-10-08,2018-09-18,603226.SH,18.16,15.57,-0.14262114537444937
2018-07-31,2018-10-08,2018-09-18,601208.SH,4.2,3.68,-0.12380952380952381
2018-07-31,2018-10-08,2018-09-18,300194.SZ,4.61,3.75,-0.18655097613882865
2018-07-31,2018-10-08,2018-09-21,002627.SZ,9.84,8.55,-0.13109756097560965
2018-07-31,2018-10-08,2018-09-21,002526.SZ,3.26,2.8,-0.14110429447852757
2018-07-31,2018-10-08,2018-09-28,000609.SZ,5.91,5.11,-0.1353637901861252
2018-07-31,2018-10-08,2018-09-28,300700.SZ,30.59,26.7,-0.12716574043805162
