ts_code,name,quote_pct,model_prob,F1,F2,F3,F4,F5,F6,total,pe_ttm,main_net_inflow,liangbi,industry_pct,catalyst_note,source
600522.SH,,-2.05,0.55,8.0,1.0,10.0,10.0,4.0,10.0,71.0,25.26,-703800000.0,1.53,-0.38,中报净利+52.29%(23.87亿)，AI驱动；中标15.18亿算力耗材大单，海缆订单充足；AI光通信放量,tdx_quotes+mx
603380.SH,,0.5,0.5499,8.0,6.0,6.0,7.0,5.0,10.0,69.5,23.94,2044000.0,1.14,0.15,中报Q2单季创新高；通讯设备+29.66%(AI服务器)；EC风机/服务器板卡 AI 概念,tdx_quotes+mx
300877.SZ,,-0.04,0.5677,9.0,5.0,2.0,5.0,5.0,4.0,53.0,51.64,,0.28,0.44,无明确催化,tdx_quotes+mx
301280.SZ,,-2.25,0.5561,9.0,2.0,2.0,7.0,5.0,7.0,53.0,30.56,-6895000.0,0.86,0.15,无明确催化,tdx_quotes+mx
603329.SH,,0.68,0.5521,9.0,2.0,2.0,5.0,5.0,10.0,53.0,11.39,-902900.0,0.92,0.35,无明确催化,tdx_quotes+mx
603090.SH,,-0.26,0.5724,8.0,5.0,2.0,7.0,4.0,4.0,52.5,63.59,,1.16,-0.8,无明确催化,tdx_quotes+mx
002845.SZ,,0.83,0.5478,9.0,5.0,2.0,7.0,4.0,1.0,52.0,209.04,,1.1,-0.5,无明确催化,tdx_quotes+mx
003018.SZ,,-4.53,0.5543,9.0,2.0,2.0,10.0,5.0,1.0,51.5,171.11,-76910000.0,1.47,0.44,无明确催化,tdx_quotes+mx
301086.SZ,,-0.91,0.5814,8.0,5.0,2.0,7.0,5.0,1.0,50.5,108.17,,1.12,0.15,无明确催化,tdx_quotes+mx
603039.SH,,0.33,0.6177,8.0,5.0,2.0,3.0,5.0,4.0,47.5,53.36,,3.64,0.94,无明确催化,tdx_quotes+mx
