ts_code,name,quote_pct,model_prob,F1,F2,F3,F4,F5,F6,total,pe_ttm,main_net_inflow,liangbi,industry_pct,catalyst_note,source
300684.SZ,中石科技,2.52,0.685,7.0,10.0,10.0,10.0,10.0,4.0,86.5,75.58,62526087.0,4.7,3.3,中际旭创拟入股10.47%协同，半年报净利+13.59%(1.38亿)，液冷/光模块散热，8月累计涨超90%，融资客大幅加仓,mcp_tdx+tencent+ifind+em
000737.SZ,北方铜业,-1.17,0.6452,8.0,10.0,10.0,5.0,5.0,10.0,82.5,17.1,249410000.0,4.66,0.45,半年报净利+186.61%(13.96亿)，LME铜价创历史新高，铜概念全线爆发，主力净流入2.49亿(+0.85%),mcp_tdx+tencent+ifind+em
600790.SH,轻纺城,0.0,0.6326,8.0,6.0,6.0,7.0,5.0,7.0,66.5,25.58,3813994.0,2.76,0.44,中报净利3.8亿+127.56%(资产处置驱动)，世界布商大会定档11月柯桥举办，Q2净利环比-91%,mcp_tdx+tencent+ifind+em
300916.SZ,朗特智能,-1.49,0.5833,8.0,8.0,1.0,10.0,8.0,4.0,65.0,74.88,12010423.0,2.28,1.62,中报归母净利580万同比-89.9%，Q2 -83.07%，扣非亏损，业绩利空,mcp_tdx+tencent+ifind+em
002104.SZ,恒宝股份,3.15,0.6439,8.0,6.0,6.0,5.0,8.0,1.0,60.5,598.67,4513816.0,3.69,1.62,连续3日涨幅偏离20%异动，龙虎榜机构+深股通净买6244万，但2026Q1亏损，PE畸高,mcp_tdx+tencent+ifind+em
603230.SH,内蒙新华,-0.66,0.5833,8.0,5.0,2.0,10.0,4.0,7.0,60.0,44.3,-2679321.0,3.58,-0.78,中报净利2291万同比-81.75%利空，无新增催化，主力净流出268万,mcp_tdx+tencent+ifind+em
002237.SZ,恒邦股份,1.61,0.6487,8.0,5.0,3.0,5.0,5.0,10.0,58.5,21.81,-15336419.0,3.39,0.45,无公司级新闻；有色板块资金流出，主力净流出1534万(-0.09%),mcp_tdx+tencent+ifind+em
001260.SZ,坤泰股份,-1.26,0.6674,7.0,5.0,3.0,10.0,5.0,4.0,57.5,55.96,-1477486.0,2.88,0.26,近期无新增催化，8/18-19龙虎榜机构关注，今日主力小幅净流出,mcp_tdx+tencent+ifind+em
300818.SZ,耐普矿机,0.21,0.6253,8.0,6.0,3.0,5.0,5.0,4.0,54.5,86.01,288009.0,3.04,0.38,近期无新增催化，海外机构调研名单提及，主力小幅净流入29万,mcp_tdx+tencent+ifind+em
000539.SZ,粤电力A,-1.49,0.5913,8.0,6.0,1.0,5.0,4.0,1.0,46.5,1283.11,9751803.0,3.33,-0.7,中报净亏损5.46亿由盈转亏，火电盈利恶化，PE畸高，无催化,mcp_tdx+tencent+ifind+em
