ts_code,name,quote_pct,model_prob,F1,F2,F3,F4,F5,F6,total,main_net_inflow,liangbi,industry_pct,catalyst_note
300916.SZ,朗特智能,-3.3,0.5703,8.0,6.0,4.0,10.0,2.0,7.0,64.0,12289266,1.4,-8.4,主力净流入1229万+换手9.36%活跃，但板块大跌-8.4%、无新闻催化
000737.SZ,北方铜业,-4.02,0.6303,8.0,6.0,4.0,5.0,2.0,10.0,59.5,1848304,0.82,-3.23,铜业，主力小幅流入，无近期新闻
002237.SZ,恒邦股份,-1.51,0.6282,8.0,2.0,4.0,5.0,5.0,10.0,54.5,-33910416,0.98,0.8,有色冶炼，行业逆势+0.8%，但个股主力净流出3391万，无近期新闻
001260.SZ,坤泰股份,-9.99,0.6352,7.0,6.0,2.0,10.0,2.0,4.0,54.5,3558920,1.07,-5.46,8/17-19连续跌停，龙虎榜机构出逃，业绩-61%，高位崩盘风险
603230.SH,内蒙新华,-1.94,0.5778,8.0,2.0,3.0,10.0,2.0,7.0,54.0,-2833413,0.58,-1.62,换手仅0.38%流动性极差，主力流出
603066.SH,音飞储存,-2.5,0.5829,9.0,2.0,2.0,7.0,2.0,10.0,53.0,-2094014,1.07,-1.31,无实质催化
601865.SH,福莱特,-3.71,0.592,8.0,2.0,3.0,5.0,2.0,10.0,49.5,-22040618,0.7,-5.17,光伏玻璃，主力流出2204万，PE-TTM 68
000539.SZ,粤电力A,-2.9,0.5824,8.0,2.0,3.0,5.0,4.0,7.0,48.5,-27461760,0.51,-0.73,主力流出2746万，PE-TTM 347畸高
300201.SZ,海伦哲,-6.09,0.5866,8.0,2.0,3.0,5.0,2.0,7.0,46.5,-46702504,0.89,-2.6,年内+111%过热，近5日主力净流出超2亿
300818.SZ,耐普矿机,-6.35,0.6171,8.0,2.0,3.0,5.0,2.0,4.0,43.5,-15170,0.69,-7.0,行业大跌-7%，PE-TTM 70偏高，主力无实质流入
