ts_code,name,quote_pct,model_prob,F1,F2,F3,F4,F5,F6,total,pe_ttm,main_net_inflow,liangbi,industry_pct,catalyst_note,source
300684.SZ,中石科技,-0.24,0.685,7.0,8.0,8.0,10.0,5.0,4.0,73.5,72.37,19476784.0,2.25,,半年报净利+13.59%(1.38亿)，中际旭创拟入股10.47%协同，社保基金二季度新进，液冷/散热概念,mcp_tdx+tencent+em
000737.SZ,北方铜业,4.96,0.6452,8.0,10.0,5.0,5.0,5.0,10.0,72.5,28.08,107295812.0,6.11,,金属铜/黄金概念，主力大幅净流入1.07亿(+16.72%)，今日放量大涨,mcp_tdx+tencent+em
600790.SH,轻纺城,1.18,0.6326,8.0,6.0,4.0,7.0,5.0,7.0,62.5,25.5,3922630.0,5.59,,中报净利3.8亿+127.56%(资产处置驱动)，扣非净利与现金流承压，融资客控盘,mcp_tdx+tencent+em
001260.SZ,坤泰股份,1.11,0.6674,7.0,6.0,3.0,10.0,5.0,4.0,59.5,56.52,518665.0,1.97,,8/18-19龙虎榜机构青睐，近期无新增催化,mcp_tdx+tencent+em
002237.SZ,恒邦股份,1.68,0.6487,8.0,6.0,3.0,5.0,5.0,7.0,57.5,21.78,1494054.0,2.15,,有色/贵金属板块资金流出(铅锌铜跌)，无公司级利好,mcp_tdx+tencent+em
603230.SH,内蒙新华,-0.11,0.5833,8.0,5.0,0.0,10.0,5.0,7.0,57.0,45.18,-1105679.0,4.02,,中报净利2291万同比-81.75%利空,mcp_tdx+tencent+em
300916.SZ,朗特智能,-7.17,0.5833,8.0,5.0,0.0,10.0,5.0,4.0,54.0,74.28,-1639920.0,6.65,,中报归母净利581万同比-89.9%利空，今日-7.17%放量杀跌,mcp_tdx+tencent+em
002104.SZ,恒宝股份,-0.18,0.6439,8.0,5.0,5.0,5.0,5.0,1.0,53.5,574.78,-7218539.0,3.43,,8/24龙虎榜异动(通信概念)，今日主力净流出722万，PE畸高,mcp_tdx+tencent+em
300818.SZ,耐普矿机,1.35,0.6253,8.0,5.0,3.0,5.0,5.0,4.0,52.5,84.09,-268986.0,2.16,,海外机构调研名单提及，无明确利好,mcp_tdx+tencent+em
000539.SZ,粤电力Ａ,0.0,0.5913,8.0,5.0,2.0,5.0,5.0,1.0,47.5,1290.37,-1763563.0,2.7,,公用事业，火电盈利分化，无公司级催化,mcp_tdx+tencent+em
