ts_code,name,quote_pct,model_prob,F1,F2,F3,F4,F5,F6,total,pe_ttm,main_net_inflow,liangbi,industry_pct,catalyst_note,source,crosscheck_warn
300413.SZ,芒果超媒,2.21,0.582,8.0,5.0,8.0,10.0,10.0,4.0,75.0,58.56,-315700000,29.91,14.18,AI长剧《后西游记》上星，芒果超媒20CM两连板，传媒AIGC主线标杆；业绩短期承压但AI内容融合,tencent+ifind+mx_dongcai,F2资金:悟道capital_flow源不可用(mcp_wudao不可达)，仅东财mx当日单源（无法两源对拍）; 行情:腾讯vs新浪最新价一致(差1.08%); F5板块:sina cnVirtualSectorRanking仅热点板块(未覆盖该行业)，东财mx行业指数未返回当日涨幅，今日行业涨幅源不可用(仅定性)
002190.SZ,成飞集成,3.88,0.616,8.0,8.0,6.0,10.0,5.0,1.0,69.0,-111.36,27600000,7.96,1.43,军工板块异动(内蒙一机2连板/建设工业涨停，成飞集成跟涨)；融资买入3333万；中报亏损增大，题材资金驱动,tencent+ifind+mx_dongcai,F2资金:悟道capital_flow源不可用(mcp_wudao不可达)，仅东财mx当日单源（无法两源对拍）; F5板块:sina cnVirtualSectorRanking仅热点板块(未覆盖该行业)，东财mx行业指数未返回当日涨幅，今日行业涨幅源不可用(仅定性)
600267.SH,海正药业,-1.0,0.5527,9.0,5.0,7.0,3.0,4.0,7.0,62.0,15.98,-6448000,2.02,-0.91,中报净利+112.8%/扣非+59.8%；与星际开发合作太空生物制药；合成生物概念；9/1融资买入2120万,tencent+ifind+mx_dongcai,F2资金:悟道capital_flow源不可用(mcp_wudao不可达)，仅东财mx当日单源（无法两源对拍）; F5板块:sina cnVirtualSectorRanking仅热点板块(未覆盖该行业)，东财mx行业指数未返回当日涨幅，今日行业涨幅源不可用(仅定性)
600498.SH,烽火通信,-0.17,0.6039,8.0,8.0,5.0,7.0,4.0,1.0,61.5,161.48,25370000,1.91,-0.56,光纤光缆量价齐升(AI算力)；9/1融资买入2.96亿但近3日主力净流出4.69亿；9/1跌4.05%,tencent+ifind+mx_dongcai,F2资金:悟道capital_flow源不可用(mcp_wudao不可达)，仅东财mx当日单源（无法两源对拍）; F5板块:sina cnVirtualSectorRanking仅热点板块(未覆盖该行业)，东财mx行业指数未返回当日涨幅，今日行业涨幅源不可用(仅定性)
300434.SZ,金石亚药,-1.33,0.551,9.0,6.0,4.0,5.0,4.0,7.0,61.0,27.79,62610,1.76,-0.91,9/1涨2.17%近3日主力+776万；中报营收微降0.22%；无重大催化,tencent+ifind+mx_dongcai,F2资金:悟道capital_flow源不可用(mcp_wudao不可达)，仅东财mx当日单源（无法两源对拍）; F5板块:sina cnVirtualSectorRanking仅热点板块(未覆盖该行业)，东财mx行业指数未返回当日涨幅，今日行业涨幅源不可用(仅定性)
600103.SH,青山纸业,-4.3,0.5549,9.0,5.0,3.0,10.0,5.0,1.0,59.5,231.38,-8422000,5.71,0.66,CPO概念9/1涨停6天4板，但沪股通龙虎榜净卖出855万、换手33.97%高位分歧；今日-7.4%大幅回落,tencent+ifind+mx_dongcai,F2资金:悟道capital_flow源不可用(mcp_wudao不可达)，仅东财mx当日单源（无法两源对拍）; 行情:腾讯vs新浪最新价一致(差4.90%); F5板块:sina cnVirtualSectorRanking仅热点板块(未覆盖该行业)，东财mx行业指数未返回当日涨幅，今日行业涨幅源不可用(仅定性)
300001.SZ,特锐德,-1.49,0.583,9.0,5.0,4.0,3.0,4.0,7.0,56.0,26.42,-13840000,2.5,-0.63,累计回购518万股(1.85亿)；连续中标电力项目(307.94万/878.55万)；9/1跌1.98%,tencent+ifind+mx_dongcai,F2资金:悟道capital_flow源不可用(mcp_wudao不可达)，仅东财mx当日单源（无法两源对拍）; F5板块:sina cnVirtualSectorRanking仅热点板块(未覆盖该行业)，东财mx行业指数未返回当日涨幅，今日行业涨幅源不可用(仅定性)
002346.SZ,柘中股份,-1.26,0.5812,9.0,2.0,6.0,3.0,4.0,7.0,54.0,14.44,-1259000,1.66,-0.63,3.54亿控股杰创半导体布局光芯片(转型题材)；中报利润翻倍靠投资；9/1跌2.55%近5日主力净流出545万,tencent+ifind+mx_dongcai,F2资金:悟道capital_flow源不可用(mcp_wudao不可达)，仅东财mx当日单源（无法两源对拍）; F5板块:sina cnVirtualSectorRanking仅热点板块(未覆盖该行业)，东财mx行业指数未返回当日涨幅，今日行业涨幅源不可用(仅定性)
603663.SH,三祥新材,-1.27,0.5732,8.0,5.0,5.0,5.0,5.0,1.0,53.5,163.53,-13770000,2.36,0.72,中报净利7701万；锆铪项目或投产在即(浙商)；9/2融资买入7317万(>80%分位)；但9/1跌4.70%,tencent+ifind+mx_dongcai,F2资金:悟道capital_flow源不可用(mcp_wudao不可达)，仅东财mx当日单源（无法两源对拍）; F5板块:sina cnVirtualSectorRanking仅热点板块(未覆盖该行业)，东财mx行业指数未返回当日涨幅，今日行业涨幅源不可用(仅定性)
002628.SZ,成都路桥,-0.18,0.6375,9.0,2.0,2.0,10.0,5.0,1.0,51.5,-47.1,-866600,1.32,1.02,中报净利-3292.78万亏损扩大；融资余额占流通5.63%超80%分位；9/1主力净流入307万，题材弱,tencent+ifind+mx_dongcai,F2资金:悟道capital_flow源不可用(mcp_wudao不可达)，仅东财mx当日单源（无法两源对拍）; F5板块:sina cnVirtualSectorRanking仅热点板块(未覆盖该行业)，东财mx行业指数未返回当日涨幅，今日行业涨幅源不可用(仅定性)
