ts_code,name,quote_pct,model_prob,F1,F2,F3,F4,F5,F6,total,pe_ttm,main_net_inflow,liangbi,industry_pct,catalyst_note,source,f2_source,f5_source,ind_used,ind_label,crosscheck_warn,tushare_crosscheck
300413.SZ,芒果超媒,7.34,0.567,8.0,5.0,8.0,10.0,4.0,4.0,69.0,60.81,,7.04,4.42,AI长剧《后西游记》首登卫视夺收视第一，AI剧上星打破影视旧玩法(9/4早8:46)；数字媒体概念走强(9/3)；但9/2主力净流出5.13亿、今日高换手9.11量比，追高谨慎,tencent0956+mx_dongcai0956+rev_cache0925,tushare_20260902,sw_l1_20260903,-0.855814744855567,传媒(sw_l1_20260903),"行情:腾讯vs东财mx最新价差1.05% >1%(快速波动时点差,需9:45复核); F5板块:板块涨幅源受限：仅东财mx概念指数单源(数字媒体/AI影视)",
003005.SZ,竞业达,-5.55,0.5644,9.0,8.0,4.0,10.0,4.0,1.0,66.5,-95.86,,10.72,1.55,深股通现身龙虎榜(9/3)、52股每笔成交量增长超50%；但今日跌停-9.94%高换手量比9.87破位，警惕,tencent0956+mx_dongcai0956+rev_cache0925,tushare_20260902,sw_l1_20260903,-0.7952443203940905,计算机(sw_l1_20260903),F5板块:板块涨幅源受限：仅东财mx概念指数单源,
601086.SH,国芳集团,-3.44,0.5586,7.0,8.0,4.0,10.0,4.0,4.0,64.5,66.11,,19.33,0.87,5连板累涨61%后公司提示市场情绪过热警惕短期回调风险；控股股东质押4500万股(累计23.91%持股)；今日高位崩塌-7~-8.5%量比29，高风险规避,tencent0956+mx_dongcai0956+rev_cache0925,tushare_20260902,sw_l1_20260903,-0.2075334868856734,商贸零售(sw_l1_20260903),"行情:腾讯vs东财mx最新价差1.25% >1%(快速波动时点差,需9:45复核); F5板块:板块涨幅源受限：仅东财mx概念指数单源",
301151.SZ,冠龙节能,-0.85,0.5849,7.0,6.0,5.0,10.0,4.0,4.0,62.5,68.18,,2.95,-0.16,液冷服务器概念(9/3涨1.84%)；9/2龙虎榜活跃、创业板两融余额减少；今日-0.5%量比4.7,tencent0956+mx_dongcai0956+rev_cache0925,tushare_20260902,sw_l1_20260903,-0.07501851782008612,机械设备(sw_l1_20260903),F5板块:板块涨幅源受限：仅东财mx概念指数单源(液冷服务器),
000049.SZ,德赛电池,0.82,0.5886,9.0,5.0,5.0,3.0,4.0,7.0,58.0,22.34,,2.19,0.61,先进封装概念(8/27涨4.29%)；股东户数持续下降筹码集中；机构调研；今日+0.7%量比2.4,tencent0956+mx_dongcai0956+rev_cache0925,tushare_20260902,sw_l1_20260903,-0.061382968613734254,电力设备(sw_l1_20260903),F5板块:板块涨幅源受限：仅东财mx概念指数单源(先进封装等),
002889.SZ,东方嘉盛,0.82,0.5746,9.0,5.0,4.0,3.0,5.0,7.0,57.0,20.94,,2.58,1.11,航运概念小涨(9/3)；光刻机概念近期回落；无重大新催化，今日+1.1%量比3.8,tencent0956+mx_dongcai0956+rev_cache0925,tushare_20260902,sw_l1_20260903,0.46812764021597475,交通运输(sw_l1_20260903),F5板块:板块涨幅源受限：仅东财mx概念指数单源,
002346.SZ,柘中股份,-0.16,0.574,9.0,2.0,6.0,3.0,4.0,7.0,54.0,14.13,,1.46,1.16,3.54亿控股杰创半导体(光芯片转型)战略投资迭代落地(8/23奉贤光芯IDM)；中报净利靠投资收益；今日+0.4%平盘微涨，量比1.9,tencent0956+mx_dongcai0956+rev_cache0925,tushare_20260902,sw_l1_20260903,-0.061382968613734254,电力设备(sw_l1_20260903),F5板块:板块涨幅源受限：sina cnVirtualSectorRanking未实现/悟道早盘受限/mcp_tdx挂，仅东财mx概念指数单源(无逐股板块涨幅两源对拍),
600549.SH,厦门钨业,-0.49,0.5597,8.0,1.0,5.0,3.0,5.0,7.0,48.5,22.59,,1.79,-0.05,金属钴/钨概念活跃(9/3钴涨1.02%)；海外机构调研；但9/2主力净流出1.94亿；今日平盘量比2.5,tencent0956+mx_dongcai0956+rev_cache0925,tushare_20260902,sw_l1_20260903,0.7097376755515492,有色金属(sw_l1_20260903),F5板块:板块涨幅源受限：仅东财mx概念指数单源(金属钴/钨),
002709.SZ,天赐材料,0.0,0.556,8.0,1.0,5.0,3.0,4.0,7.0,47.5,17.83,,1.45,0.61,海外机构调研(9/3)；电力设备板块9/1资金净流出52.85亿；9/2主力净流出2.02亿；今日平盘量比2.0,tencent0956+mx_dongcai0956+rev_cache0925,tushare_20260902,sw_l1_20260903,-0.061382968613734254,电力设备(sw_l1_20260903),F5板块:板块涨幅源受限：仅东财mx概念指数单源,
605189.SH,富春染织,1.15,0.5871,8.0,2.0,4.0,3.0,2.0,7.0,45.5,13.81,,1.43,0.89,两股东拟合计减持不超1%(或套现约3560万)；上半年净利暴增1238%但减持压制；今日+0.8%,tencent0956+mx_dongcai0956+rev_cache0925,tushare_20260902,sw_l1_20260903,-1.2155279442860922,纺织服饰(sw_l1_20260903),F5板块:板块涨幅源受限：仅东财mx概念指数单源,
