ts_code,name,quote_pct,model_prob,F1,F2,F3,F4,F5,F6,total,pe_ttm,main_net_inflow,liangbi,industry_pct,catalyst_note,source
300456.SZ,赛微电子,0.3,0.5624,8.0,10.0,8.0,10.0,8.0,7.0,86.0,7.1,525980000.0,6.42,2.52,半年报扭亏(8/27)+MEMS纯代工/硅光子/英伟达概念，8/27 20cm涨停；8/28 +9.01%,tencent+ifind
600522.SH,中天科技,-0.2,0.5713,8.0,10.0,8.0,7.0,8.0,7.0,81.5,32.07,1594080000.0,2.75,2.74,半年报(8/28)营收+31.10%/净利+52.29%，AI算力光纤/海缆/通信设备,tencent+ifind
300005.SZ,探路者,-4.56,0.6186,8.0,10.0,8.0,7.0,8.0,4.0,78.5,87.37,120180000.0,5.59,1.53,半年报(8/22)营收+42.34%/净利+155.06%，户外+芯片双主业,tencent+ifind
603155.SH,新亚强,-2.19,0.638,8.0,6.0,3.0,7.0,10.0,4.0,62.5,66.53,3259924.0,2.79,4.36,无重大新催化,tencent+ifind
002190.SZ,成飞集成,-1.19,0.6342,8.0,5.0,4.0,10.0,5.0,1.0,59.0,-104.76,-72124108.32,4.23,0.8,8/27 涨停(航空零部件/汽车零部件题材)，今日回落；PE为负,tencent+ifind
002628.SZ,成都路桥,-1.09,0.6413,9.0,5.0,3.0,10.0,4.0,1.0,58.5,-46.17,-22857816.86,4.15,-0.03,无重大新催化；8/27 曾涨停(5.28)，8/28 +3.79%，今日回落,tencent+ifind
002346.SZ,柘中股份,-0.58,0.58,9.0,6.0,3.0,3.0,5.0,7.0,57.0,15.13,1237543.0,1.4,,无重大新催化；换手极低(0.29%),tencent+ifind
600267.SH,海正药业,-2.46,0.5789,9.0,5.0,3.0,3.0,5.0,7.0,55.0,15.99,-118474.82,2.11,,无重大新催化；换手低,tencent+ifind
300806.SZ,斯迪克,0.43,0.6416,8.0,5.0,3.0,5.0,10.0,1.0,54.5,383.52,-50392132.67,3.9,4.36,无强催化；PE 383 估值畸高，基础化工板块大涨但个股主力净流出,tencent+ifind
600272.SH,开开实业,-10.0,0.701,7.0,5.0,2.0,7.0,4.0,1.0,47.0,205.3,-9908481.89,2.17,-0.2,今日跌停(-10%)，PE 205 畸高；近期妖股连续涨停后暴跌(8/28 -6.5%),tencent+ifind
