ts_code,name,quote_pct,model_prob,F1,F2,F3,F4,F5,F6,total,pe_ttm,main_net_inflow,liangbi,industry_pct,catalyst_note,source
002155.SZ,湖南黄金,,0.5957,8.0,5.0,0.0,5.0,8.0,10.0,55.5,20.05,,,1.61,TDX返回异常(涨幅-100%/停牌状态)，行情字段缺失,
300684.SZ,中石科技,0.12,0.7512,7.0,6.0,0.0,10.0,2.0,4.0,50.5,97.33,30620160.0,0.75,-2.61,,
002237.SZ,恒邦股份,-1.68,0.6217,8.0,2.0,0.0,5.0,8.0,10.0,49.5,16.15,-58779040.0,1.85,1.61,,
000960.SZ,锡业股份,-2.88,0.5747,9.0,1.0,0.0,7.0,4.0,10.0,49.0,19.71,-151117120.0,1.2,-0.003,,
001260.SZ,坤泰股份,1.64,0.6681,7.0,6.0,0.0,10.0,2.0,1.0,47.5,203.56,2982412.0,0.58,-1.16,,
002104.SZ,恒宝股份,7.17,0.6657,8.0,8.0,0.0,5.0,2.0,1.0,46.5,-97.67,118107136.0,2.3,-4.94,,
000737.SZ,北方铜业,1.43,0.609,8.0,1.0,0.0,5.0,5.0,10.0,44.5,11.54,-113871488.0,1.13,0.16,,
605077.SH,华康股份,0.0,0.6284,8.0,2.0,0.0,5.0,5.0,7.0,43.5,38.88,-2644070.0,0.86,0.12,,
300818.SZ,耐普矿机,-3.73,0.6201,8.0,6.0,0.0,5.0,2.0,1.0,42.5,-173.23,333798.0,0.98,-1.99,,
000539.SZ,粤电力A,-0.56,0.604,8.0,2.0,0.0,5.0,5.0,1.0,37.5,-46.05,-34089632.0,0.61,0.75,,
