ts_code,name,quote_pct,model_prob,F1,F2,F3,F4,F5,F6,total,pe_ttm,main_net_inflow,liangbi,industry_pct,catalyst_note,source,f2_source,f5_source,ind_used,ind_label,crosscheck_warn,tushare_crosscheck
601999.SH,,-3.08,0.5571,9.0,5.0,5.0,10.0,5.0,7.0,69.5,40.7,,6.92,,9/3参与设立数智产业投资基金轻度利好；中报净利3220万-25.83%压制；今日-3.08%量比6.9放量下跌,,missing,realtime,,实时行业,F5板块:板块涨幅源受限：仅东财mx概念指数单源(传媒申万+1.2%),
601579.SH,,0.17,0.577,7.0,5.0,6.0,10.0,5.0,7.0,66.5,41.37,,8.87,,9/4涨停黄酒概念；主力净流入1.14亿；H1净利+37%；公司澄清无未披露事项,,missing,realtime,,实时行业,F5板块:板块涨幅源受限：仅东财mx概念指数单源(黄酒-0.6%/白酒申万-0.47%),
603255.SH,,-0.52,0.5798,9.0,5.0,8.0,5.0,5.0,4.0,65.0,80.09,,1.81,,POE量产放量；H1净利+931%、Q2环比+190%；机构买入评级、2026预测净利1.84亿+1511%,,missing,realtime,,实时行业,"行情:腾讯vs东财mx最新价差1.32% >1%(9分钟时差,窄幅波动,需9:45复核); F5板块:板块涨幅源受限：仅东财mx概念指数单源",
002709.SZ,,0.77,0.5813,8.0,5.0,8.0,3.0,5.0,7.0,62.5,17.57,,2.01,,H股通过港交所聆讯；H1营收147.1亿+109%、净利28.61亿+968%；电解液满产、六氟磷酸锂11.5万/吨创半年新高,,missing,realtime,,实时行业,F5板块:板块涨幅源受限：仅东财mx概念指数单源(储能/电力设备),
300602.SZ,,-4.32,0.5405,9.0,5.0,5.0,5.0,5.0,4.0,59.0,53.24,,4.19,,Q2净利+61.8%净利率五年新高、液冷AI散热题材强、研报买入；但9/4跌6.67%主力净流出1.8亿、今日-4.32%放量调整,,missing,realtime,,实时行业,F5板块:板块涨幅源受限：仅东财mx概念指数单源(富士康/液冷服务器),
300073.SZ,,0.03,0.5448,8.0,5.0,6.0,3.0,5.0,7.0,58.5,25.01,,2.51,,H1营收104.75亿+136%、净利5.20亿+67%符合预期；全固态正极出货50吨领先；9/4主力净卖出2048万,,missing,realtime,,实时行业,F5板块:板块涨幅源受限：仅东财mx概念指数单源(金属钴),
603038.SH,,-0.56,0.568,8.0,5.0,7.0,3.0,5.0,4.0,57.5,54.16,,1.3,,9/2携手图灵量子共建量子智算中心落地（光量子计算机交付）；中报净利+319.74%业绩大增；事件已发酵3日盘面温和,,missing,realtime,,实时行业,F5板块:板块涨幅源受限：仅东财mx概念指数单源(建筑材料申万+0.86%),
603216.SH,,-0.14,0.5682,8.0,5.0,4.0,7.0,5.0,4.0,57.5,80.5,,2.72,,H1营收-7.93%、净利-10.67%双降；无重大新催化，仅AAA守合同名单轻度消息,,missing,realtime,,实时行业,F5板块:板块涨幅源受限：仅东财mx概念指数单源,
605398.SH,,-6.0,0.5554,8.0,5.0,3.0,10.0,5.0,1.0,57.0,1676.11,,27.12,,5天4板高位异动+澄清AI短剧收入占比<1%+不持有数据中心+半年报由盈转亏-639.9万，今日-6%放量，高位风险规避,,missing,realtime,,实时行业,F5板块:板块涨幅源受限：mcp_tdx挂/悟道早盘受限/sina未接入，仅东财mx概念指数单源(存储/PCB),
600549.SH,,2.25,0.5438,8.0,5.0,5.0,3.0,5.0,7.0,56.5,22.37,,2.56,,H1净利22.01亿+126%研报买入；但本周跌10.62%主力净流出9.55亿、钨价高位回落+Q2减值9.76亿，业绩与资金背离,,missing,realtime,,实时行业,F5板块:板块涨幅源受限：仅东财mx概念指数单源(有色金属),
