ts_code,name,quote_pct,model_prob,F1,F2,F3,F4,F5,F6,total,pe_ttm,main_net_inflow,liangbi,industry_pct,catalyst_note,source,crosscheck_warn
001309.SZ,德明利,-3.0,0.5659,8.0,5.0,8.0,10.0,2.0,10.0,73.0,14.08,-159000000.0,2.38,-2.29,中报净利60.17亿扭亏/营收+311.6%，10派15转4，企业级存储放量(存储景气),tencent+mx,F2资金:悟道capital_flow源不可用，仅东财mx当日单源（无法两源对拍）; F5板块:sina cnVirtualSectorRanking/悟道板块源不可用，仅东财mx申万板块单源
600267.SH,海正药业,0.25,0.5891,9.0,6.0,7.0,3.0,5.0,7.0,65.0,16.09,7704000.0,1.67,0.03,中报净利6.36亿+112.8%/扣非+59.8%，毛利率升至55.6%，创新药+原料药+宠物药,tencent+mx,F2资金:悟道capital_flow源不可用，仅东财mx当日单源（无法两源对拍）; F5板块:sina cnVirtualSectorRanking/悟道板块源不可用，仅东财mx申万板块单源
300456.SZ,赛微电子,-0.35,0.5903,8.0,6.0,4.0,10.0,2.0,7.0,64.0,7.03,6032000.0,2.72,-2.29,中报净利27.02亿主要系出售Silex公允价值变动，扣非-3.79亿，主营MEMS仍亏损,tencent+mx,F2资金:悟道capital_flow源不可用，仅东财mx当日单源（无法两源对拍）; F5板块:sina cnVirtualSectorRanking/悟道板块源不可用，仅东财mx申万板块单源
002190.SZ,成飞集成,2.25,0.606,8.0,6.0,5.0,10.0,5.0,1.0,63.0,-107.61,5986000.0,3.63,0.66,中报亏损增294%主业承压，但军工/低空经济题材、8/27涨停、融资买入大增，题材资金驱动,tencent+mx,F2资金:悟道capital_flow源不可用，仅东财mx当日单源（无法两源对拍）; F5板块:sina cnVirtualSectorRanking/悟道板块源不可用，仅东财mx申万板块单源
002346.SZ,柘中股份,-2.99,0.6158,9.0,5.0,7.0,3.0,4.0,7.0,62.0,14.56,-87320.0,2.52,-0.77,中报净利3.2亿+118.5%；拟3.54亿控股杰创半导体(半导体转型),tencent+mx,F2资金:悟道capital_flow源不可用，仅东财mx当日单源（无法两源对拍）; F5板块:sina cnVirtualSectorRanking/悟道板块源不可用，仅东财mx申万板块单源
301369.SZ,联动科技,-3.49,0.5928,8.0,6.0,8.0,7.0,2.0,1.0,61.5,304.55,358100.0,2.05,-2.29,中报净利+93.2%，AI SoC测试机交付头部车企，功率测试设备放量(半导体设备),tencent+mx,F2资金:悟道capital_flow源不可用，仅东财mx当日单源（无法两源对拍）; F5板块:sina cnVirtualSectorRanking/悟道板块源不可用，仅东财mx申万板块单源
603155.SH,新亚强,-0.71,0.652,8.0,5.0,6.0,7.0,5.0,4.0,61.5,67.15,-3022000.0,2.27,0.43,中报净利7224万+22.4%，高端电子化学品/有机硅向好，机构预测2026净利+78%,tencent+mx,F2资金:悟道capital_flow源不可用，仅东财mx当日单源（无法两源对拍）; F5板块:sina cnVirtualSectorRanking/悟道板块源不可用，仅东财mx申万板块单源
300873.SZ,海晨股份,-1.18,0.5974,8.0,6.0,3.0,7.0,5.0,7.0,60.5,34.01,3019000.0,2.02,0.74,中报净利-87.4%(汇兑拖累)，OHT天车达国际主流，融资净卖出，偏负,tencent+mx,F2资金:悟道capital_flow源不可用，仅东财mx当日单源（无法两源对拍）; F5板块:sina cnVirtualSectorRanking/悟道板块源不可用，仅东财mx申万板块单源
300806.SZ,斯迪克,-4.38,0.6368,8.0,5.0,6.0,7.0,5.0,1.0,58.5,373.83,-51670000.0,3.53,0.43,中报净利+82%/扣非+179%增长强劲，但经营现金流-7278万、负债率67.5%偏弱,tencent+mx,F2资金:悟道capital_flow源不可用，仅东财mx当日单源（无法两源对拍）; F5板块:sina cnVirtualSectorRanking/悟道板块源不可用，仅东财mx申万板块单源
002628.SZ,成都路桥,0.37,0.6681,9.0,2.0,2.0,10.0,5.0,1.0,51.5,-46.68,-2522000.0,1.43,0.17,H1亏3292万/控股股东一致行动人股份遭司法拍卖/计提减值，负面,tencent+mx,F2资金:悟道capital_flow源不可用，仅东财mx当日单源（无法两源对拍）; F5板块:sina cnVirtualSectorRanking/悟道板块源不可用，仅东财mx申万板块单源
