ts_code,name,quote_pct,model_prob,F1,F2,F3,F4,F5,F6,total,main_net_inflow,liangbi,industry_pct,catalyst_note
002237.SZ,恒邦股份,0.67,0.6282,8.0,6.0,9.0,5.0,8.0,10.0,75.5,1414448,3.77,2.74,8/20晚半年报净利+112.6%，Q2单季+211.97%超预期，贵金属冶炼景气
300916.SZ,朗特智能,1.19,0.5703,8.0,5.0,5.0,10.0,5.0,7.0,67.0,-78111,3.32,0.52,机器人/电子烟概念，与优必选泳池清洁机器人合作，8/7曾涨停
601865.SH,福莱特,-0.39,0.592,8.0,6.0,6.0,5.0,5.0,10.0,66.5,5284418,1.81,0.46,8/5拟收购福来瑞诚60%股权+光伏反内卷政策，8/7曾涨停
603066.SH,音飞储存,-1.65,0.5829,9.0,5.0,2.0,7.0,4.0,10.0,61.0,-363664,3.54,-0.7,无实质催化，仅董秘聘任公告
000737.SZ,北方铜业,1.28,0.6303,8.0,6.0,3.0,5.0,5.0,10.0,60.5,7472384,2.35,1.4,无近期新闻，铜价驱动+主力小幅流入
603230.SH,内蒙新华,-1.3,0.5778,8.0,6.0,2.0,10.0,2.0,7.0,60.0,797378,2.24,-1.02,无新闻催化，换手仅0.1%流动性极差
300201.SZ,海伦哲,0.62,0.5866,8.0,6.0,4.0,5.0,5.0,7.0,59.5,11777776,1.5,0.17,8/10两项发明专利+Q1净利+50%，但澄清不涉AI发电机组
001260.SZ,坤泰股份,0.12,0.6352,7.0,6.0,2.0,10.0,5.0,4.0,57.5,1709666,1.89,0.14,8/17-19连续跌停，龙虎榜机构出逃，Q1净利-61%，高位崩盘后弱反弹
300818.SZ,耐普矿机,3.9,0.6171,8.0,5.0,5.0,5.0,5.0,4.0,56.5,-21572,4.24,0.36,8/12半年报转亏，但8/17锻造衬板订单增长+8/21与中信重工深化合作
000539.SZ,粤电力A,-0.56,0.5824,8.0,2.0,2.0,5.0,4.0,7.0,46.5,-10813940,1.44,-0.45,无新闻催化，PE-TTM 343畸高
